,Date,TweetURL,User,Source,Location,Tweet
61,2021-10-28 06:22:43+00:00,https://twitter.com/havewiyah/status/1453608148317601797,havewiyah,Twitter for iPhone,,Digi ada msalah apa yah area sabah? 3 hari sda begini tiada line ndalama tukar la ni p @Maxis 😌 @digitelco
62,2021-10-27 11:53:27+00:00,https://twitter.com/afifi_helmie/status/1453328991637573640,afifi_helmie,Twitter for iPhone,,"@digitelco Hi digi, dah 2 hari tiada line ni. Bayar beratus ni. Tolong check , tukar telco lain baru taw"
63,2021-10-27 02:55:52+00:00,https://twitter.com/nasrulshazli/status/1453193702055182342,nasrulshazli,Twitter Web App,Kuala Lumpur,"@digitelco Hi Digi, line problem ke, sbb dari ptg semalam tiada data hingga sekarang, hmmm, dah dm tak reply2 lg"
64,2021-10-26 11:57:58+00:00,https://twitter.com/YuzYussof/status/1452967737605558272,YuzYussof,Twitter for Android,Wilayah Persekutuan Labuan,Kawan mengadu.. Digi lagi tiada line. Welcome to the club with celcom 😌🙂
65,2021-10-15 01:40:30+00:00,https://twitter.com/ciklan_nor/status/1448826080597450756,ciklan_nor,Twitter for Android,Kuala Lumpur,"@digitelco @MCMC_RASMI Di Blok 26 Bandar Tasik Puteri, Rawang line digi dan internet digi boleh dikatakan 0.1/10. Rumah dua tingkat, duduk atas line hilang datang. Duduk bawah tak ada terus. Tiada usaha pihak telco untuk memperbaikinya. Remember this, 0.1/10"
66,2021-10-14 04:47:09+00:00,https://twitter.com/lenalanaaz/status/1448510666399092742,lenalanaaz,Twitter for iPhone,BKI,"Why the becoz Maxis, Digi tiada line? Nokuroooo"
67,2021-10-02 05:15:07+00:00,https://twitter.com/atikahhs__/status/1444169051375226884,atikahhs__,Twitter for Android,Malaysia,bodola digi time time begini ba tiada line. mau submit suda ni report oi ndada line lagi stress ako.
68,2021-09-30 02:45:34+00:00,https://twitter.com/abanghero_/status/1443406640405901315,abanghero_,Twitter for iPhone,Malaysia,"Abang paling stress kalau line data internet abang masih 3G.

Sudah hampir akhir 2021 tapi masih tiada improvement. Kata nak terapkan semua kawasan 4G atau hanya SEKADAR ILUSI?

Dear Digi, upgrade your service!!"
69,2021-09-22 07:07:59+00:00,https://twitter.com/Abyieee2/status/1440573576977862661,Abyieee2,Twitter for Android,,"Jika mereka tiada line Digi, tapi ada line Celcom, maka Tonewow sentiasa ada. Begitu juga sebaliknya!

Mana yang menunggu peluang untuk jadi pengedar simkad Tonewow, saya rasa inilah waktu terbaik anda boleh mulakan

Kita membayar dan kita dibayar
Simkad yang menang kedua-duanya"
70,2021-09-18 12:17:52+00:00,https://twitter.com/izriez/status/1439202007345090561,izriez,Twitter for Android,Kuala Lumpur City,"@MCMC_RASMI Hi MCMC, tolong stabilkan signal 4G Celcom, line sgt slow &amp; congest,juga luaskn liputan 4G LTE bg rangkaian telco Maxis &amp; Digi di kawasan luar bandar di Kedah. Bnyk kali aduan di buat tetapi tiada tindakan yg dibuat. Sila jalankan tanggungjawab"
