,Date,TweetURL,User,Source,Location,Tweet,Likes_Count,Retweet_Count,Quote_Count,Reply_Count
86,2021-11-25 13:51:45+00:00,https://twitter.com/jeedZulkefli/status/1463868010247061508,jeedZulkefli,Twitter for iPhone,"Bandar Kuala Lumpur, Wilayah P","@Celcom 
&amp; isu no connection berpisah tiada. Sudahlah susah nak buat report, dekat tweet suruh whatsapp, dekat whatsapp tak reply reply. Nak call…. Engkau punya line ni no line apa bagai. 

Macamana lah …. Takkan ari ari nk reset reset? Kata nak hapuskan 3g bagai",0,0,0,0
87,2021-11-22 10:28:51+00:00,https://twitter.com/mohdshazwie11__/status/1462729784719396867,mohdshazwie11__,Twitter for iPhone,Malaysia,Omg. Tadi line celcom di Ulu Dusun Sandakan bongok betul. 4G tapi tiada ni masuk apa apa noti. Jangan juga ya begitu,0,0,0,0
88,2021-11-22 01:03:41+00:00,https://twitter.com/farahmvrzuki/status/1462587554583044100,farahmvrzuki,Twitter for iPhone,Malaysia,Omg tiada line disini ni?? Celcom like fr?? Oh i forgot i used to live here mmg susah line,0,0,0,0
89,2021-11-20 13:30:08+00:00,https://twitter.com/sayasyahirahnur/status/1462050629434568709,sayasyahirahnur,Twitter for iPhone,,"alhamdulillah line dah okay! harap line okay ni kekal sampai ke anak cucu la eh @Celcom . tapi slow tu sudah biasa, tak pa la asalkan ada dari tiada!",1,0,0,0
90,2021-11-18 09:37:27+00:00,https://twitter.com/ajiqoepico/status/1461267299541733378,ajiqoepico,Twitter for iPhone,,Anda kenapa ya celcom? Ketiba tibaan tiada line sepanjang hari 🙂,0,0,0,0
91,2021-11-15 02:51:34+00:00,https://twitter.com/_itsmeelliot/status/1460077991044648967,_itsmeelliot,Twitter for Android,,"@Celcom Saya nak tanya kenapa tiba-tiba saya punya nombor tiada line ya dah berhari-hari, nak kata saya tak topup baru je topup rm5",0,0,0,0
92,2021-11-12 14:27:33+00:00,https://twitter.com/amirulhaq_/status/1459165975996076042,amirulhaq_,Twitter for Android,,"Okay dalam perspektif student dan pengguna setelah setahun lebih.

Baik
1. Blh hotspot ikut baki data (tiada limit hotspot)
2. Speed tak capped
3. Boleh carry forward baki data bulan lps.
4. Lambat bayar tiada caj.

Buruk
1. Line celcom tak berapa stabil
2. Bnyk selenggara https://t.co/xyeW2RMepc",4,4,0,1
93,2021-11-08 08:39:56+00:00,https://twitter.com/Yolo921204/status/1457628944371372032,Yolo921204,Twitter for Android,,"@tatapurplesyou_ I dulu guna Maxis package berharga RM98 sebulan, selalu tiada line. Sekarang saya guna Tunetalk RM48 unlimited, l rasa lagi laju. Selain itu, bapa saya juga guna celcom RM35, dia cakap so far so good, better than the Streamxy WiFi di rumah😂",0,0,0,1
94,2021-11-06 01:34:14+00:00,https://twitter.com/linwinkywanka/status/1456797036196417539,linwinkywanka,Twitter for iPhone,"Kuala Lumpur Federal Territory, Malaysia",@Celcom line tiada langsung even untuk kol pon tiada. Bayar bill every month bukan main tp notis pon tiada langsung bila jadi mcm ni.,0,0,0,1
95,2021-10-26 11:57:58+00:00,https://twitter.com/YuzYussof/status/1452967737605558272,YuzYussof,Twitter for Android,Wilayah Persekutuan Labuan,Kawan mengadu.. Digi lagi tiada line. Welcome to the club with celcom 😌🙂,0,0,0,0
